ligand_complex,receptor_complex,best_rank_vivo,high_conf_vivo,senders_vivo,n_senders_vivo,n_samples_vivo,all_samples_vivo,best_rank_vitro,high_conf_vitro,senders_vitro,n_senders_vitro,n_samples_vitro,all_samples_vitro,detected_vivo,detected_vitro,in_vivo,in_vitro,receptor_prop_pgclc,receptor_scorable,receptor_available,medium_supplied_hits,medium_supplied,medium_supplied_partial,receptor_confounded_hits,receptor_confounded,flag_medium_supplied,flag_receptor_available,flag_receptor_confounded,class,robust
LAMB2,RPSA,0.00015639012624172466,True,"CoelEpi_GATA2, CoelEpi_LHX9, CoelEpi_LHX9_cycling, Endothelial, Epithelial, Gi, Mesenchymal_GATA2, Neural, OSE, Oi, PV, early_sPAX8, early_somatic, early_supporting, preGC_I, preGC_IIa, preGC_IIb, primordial germ cell",18.0,4.0,True,0.05707439251224746,False,"PGCLC, cluster 10, cluster 11, cluster 13, cluster 14, cluster 3, cluster 4, cluster 5, cluster 6, cluster 7, cluster 8, cluster 9",12.0,4.0,True,True,True,True,False,0.9997670355270821,True,True,,,False,,,False,True,False,actionable,True
TOR2A,ATP5F1B,0.04432081176991517,True,"CoelEpi_GATA2, CoelEpi_LHX9, CoelEpi_LHX9_cycling, Endothelial, Epithelial, Erythroid, Gi, Immune, Mesenchymal_GATA2, Neural, Oi, PV, early_sPAX8, early_somatic, early_supporting, preGC_I, preGC_IIb, primordial germ cell",18.0,4.0,True,0.39256461320757174,False,"cluster 10, cluster 11, cluster 14, cluster 5, cluster 7, cluster 8",6.0,2.0,False,True,True,True,False,0.9794991263832266,True,True,,,False,,,False,True,False,actionable,True
HSPG2,ITGB1,0.0014710343296560826,True,"CoelEpi_GATA2, CoelEpi_LHX9, CoelEpi_LHX9_cycling, Endothelial, Epithelial, Gi, Mesenchymal_GATA2, Neural, OSE, Oi, PV, early_sPAX8, early_somatic, early_supporting, preGC_I, preGC_IIa, preGC_IIb",17.0,4.0,True,0.09882066515040294,False,"PGCLC, cluster 10, cluster 11, cluster 12, cluster 13, cluster 14, cluster 3, cluster 4, cluster 5, cluster 6, cluster 7, cluster 8, cluster 9",13.0,4.0,True,True,True,True,False,0.9550378567268492,True,True,,,False,,,False,True,False,actionable,True
CXCL12,ITGB1,0.010113775091227717,True,"CoelEpi_GATA2, CoelEpi_LHX9, CoelEpi_LHX9_cycling, Epithelial, Gi, Mesenchymal_GATA2, Neural, Oi, PV, early_sPAX8, early_somatic, preGC_IIa, preGC_IIb, primordial germ cell",14.0,4.0,True,0.06841190746450107,False,"cluster 11, cluster 3, cluster 6",3.0,4.0,True,True,True,True,False,0.9550378567268492,True,True,,,False,,,False,True,False,actionable,True
CLEC11A,ITGB1,0.010308906552867843,True,"CoelEpi_GATA2, CoelEpi_LHX9, CoelEpi_LHX9_cycling, Endothelial, Epithelial, Erythroid, Gi, Immune, Mesenchymal_GATA2, Neural, OSE, Oi, PV, early_sPAX8, early_somatic, early_supporting, preGC_I, preGC_IIa, preGC_IIb, primordial germ cell",20.0,4.0,True,0.38006085872191664,False,"PGCLC, cluster 10, cluster 11, cluster 14, cluster 3, cluster 4, cluster 5, cluster 6, cluster 7, cluster 8, cluster 9",11.0,3.0,False,True,True,True,False,0.9550378567268492,True,True,,,False,,,False,True,False,actionable,True
LGALS3BP,ITGB1,0.014082803033872365,True,"CoelEpi_GATA2, CoelEpi_LHX9, CoelEpi_LHX9_cycling, Epithelial, Gi, Immune, Mesenchymal_GATA2, Neural, OSE, Oi, PV, early_sPAX8, early_somatic, early_supporting, preGC_I, preGC_IIa, preGC_IIb",17.0,4.0,True,0.44201332367024615,False,"PGCLC, cluster 10, cluster 11, cluster 13, cluster 3, cluster 5, cluster 6, cluster 7, cluster 8, cluster 9",10.0,4.0,True,True,True,True,False,0.9550378567268492,True,True,,,False,,,False,True,False,actionable,True
TGFB1,ITGB1,0.014427122098533474,True,"CoelEpi_GATA2, CoelEpi_LHX9_cycling, Endothelial, Epithelial, Erythroid, Gi, Immune, Mesenchymal_GATA2, PV, early_sPAX8, early_somatic, early_supporting, primordial germ cell",13.0,4.0,True,0.3381654545694292,False,"PGCLC, cluster 10, cluster 11, cluster 13, cluster 14, cluster 3, cluster 4, cluster 5, cluster 6, cluster 7, cluster 8, cluster 9",12.0,4.0,True,True,True,True,False,0.9550378567268492,True,True,,,False,,,False,True,False,actionable,True
TIMP2,ITGB1,0.01549347605556156,True,"CoelEpi_GATA2, CoelEpi_LHX9, CoelEpi_LHX9_cycling, Endothelial, Epithelial, Gi, Immune, Mesenchymal_GATA2, Neural, OSE, Oi, PV, early_sPAX8, early_somatic, early_supporting, preGC_I, preGC_IIa, preGC_IIb, primordial germ cell",19.0,4.0,True,0.24218502722471136,False,"PGCLC, cluster 10, cluster 11, cluster 12, cluster 13, cluster 14, cluster 3, cluster 4, cluster 5, cluster 6, cluster 7, cluster 8, cluster 9",13.0,4.0,True,True,True,True,False,0.9550378567268492,True,True,,,False,,,False,True,False,actionable,True
ADAM15,ITGB1,0.019004326557057555,True,"CoelEpi_GATA2, CoelEpi_LHX9, CoelEpi_LHX9_cycling, Endothelial, Epithelial, Immune, OSE, PV, preGC_IIb, primordial germ cell",10.0,4.0,True,0.37677735009012503,False,"cluster 14, cluster 5, cluster 8",3.0,3.0,False,True,True,True,False,0.9550378567268492,True,True,,,False,,,False,True,False,actionable,True
NID1,ITGB1,0.0238919834340908,True,"Endothelial, Epithelial, Gi, Immune, Mesenchymal_GATA2, Neural, Oi, PV, early_somatic",9.0,4.0,True,0.07678274376091894,False,"cluster 10, cluster 13, cluster 14, cluster 3, cluster 4, cluster 5, cluster 6, cluster 7, cluster 8, cluster 9",10.0,4.0,True,True,True,True,False,0.9550378567268492,True,True,,,False,,,False,True,False,actionable,True
